2025-06-25 13:23:05 | INFO     | Backend | info:76 | Starting QA-Suite Backend with Dynamic Self-Healing Engine | Context: {"python_version": "3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]", "flask_version": "2.3.3", "langchain_version": "0.1.53"}
2025-06-25 13:23:05 | INFO     | Backend | info:76 | LLM initialized | Context: {"model": "gemini-2.5-flash-preview-05-20", "temperature": 0.1, "api_key_configured": true}
2025-06-25 13:23:05 | INFO     | Backend | info:76 | Starting Flask development server with Dynamic Self-Healing Engine | Context: {"host": "localhost", "port": 5000, "debug": true}
2025-06-25 13:23:37 | INFO     | Backend | info:76 | Received test ideas generation request
2025-06-25 13:23:50 | INFO     | Backend | info:76 | Received script generation request
2025-06-25 13:26:28 | INFO     | Backend | info:76 | Received script execution request
2025-06-25 13:26:28 | INFO     | Backend | info:76 | Starting execution attempt 1/6
2025-06-25 13:26:28 | INFO     | Backend | info:76 | Enhancing test script with automatic DOM dumping on failure.
2025-06-25 13:26:29 | WARNING  | Backend | warning:88 | Script failed on attempt 1.
2025-06-25 13:26:29 | INFO     | Backend | info:76 | This was a manual retry (1/3). Retrying the same script after 10.0s.
2025-06-25 13:26:39 | INFO     | Backend | info:76 | Starting execution attempt 2/6
2025-06-25 13:26:39 | INFO     | Backend | info:76 | Enhancing test script with automatic DOM dumping on failure.
2025-06-25 13:26:39 | WARNING  | Backend | warning:88 | Script failed on attempt 2.
2025-06-25 13:26:39 | INFO     | Backend | info:76 | This was a manual retry (2/3). Retrying the same script after 10.0s.
2025-06-25 13:26:49 | INFO     | Backend | info:76 | Starting execution attempt 3/6
2025-06-25 13:26:49 | INFO     | Backend | info:76 | Enhancing test script with automatic DOM dumping on failure.
2025-06-25 13:26:50 | WARNING  | Backend | warning:88 | Script failed on attempt 3.
2025-06-25 13:26:50 | INFO     | Backend | info:76 | This was a manual retry (3/3). Retrying the same script after 10.0s.
2025-06-25 13:27:00 | INFO     | Backend | info:76 | Starting execution attempt 4/6
2025-06-25 13:27:00 | INFO     | Backend | info:76 | Enhancing test script with automatic DOM dumping on failure.
2025-06-25 13:27:00 | WARNING  | Backend | warning:88 | Script failed on attempt 4.
2025-06-25 13:27:00 | WARNING  | Backend | warning:88 | Failure was not a selector timeout. Aborting self-healing.
